[+      0ms] AutoHintDetectionProbe — wayfinder #45 detection spike (THROWAWAY)
[+      1ms] Logging to: C:\Users\knausj\git\Windows-Hinting\prototype\AutoHintDetectionProbe\auto-hint-detection-probe.log
[+      1ms] 
[+      1ms] Manual test checklist — open each, watch which events fire + the classify line:
[+      1ms]   v1 catalog:  Start menu · Search · Notification Center · Control Center ·
[+      1ms]                System-tray overflow · taskbar jump list (right-click a pinned app) ·
[+      1ms]                Task View · Snap Assist (Win+Z / drag-snap) ·
[+      1ms]                shell context menu (right-click desktop) · a Win11 XAML flyout
[+      1ms]   MenuOpened matrix — open a menu bar / context menu in EACH and note if UIA fires:
[+      1ms]                VS Code · GitHub Desktop · Visual Studio · File Explorer
[+      1ms]   Round 2 (COM): also watch UIA-COM Win.WindowOpened/Closed + MenuModeStart/End
[+      1ms]                — focus the problem apps (VS Code, GitHub Desktop).
[+      1ms]   Round 3: WINEVENT OBJECT_FOCUS + UIA FocusChanged — does focus-changed give a
[+      1ms]                clean focused-element signal, incl. into VS Code's in-DOM menu?
[+      1ms]   #49 redraw spike (3 SIGNALS): on attach to the REAL Start root (via
[+      1ms]                WindowOpened(name='Start')) the probe now watches THREE streams and
[+      1ms]                tags each line SC / LAYOUT / SCROLL on one shared Δ cadence clock:
[+      1ms]                  SC     = StructureChanged (tree gained/lost nodes — virtualization-bound)
[+      1ms]                  LAYOUT = LayoutInvalidated (container re-laid-out its children)
[+      1ms]                  SCROLL = ScrollPattern V/H-ScrollPercent changed (visible offset moved)
[+      1ms]                (a) open START, note first SC/LAYOUT +latency vs the WindowOpened lag (readiness);
[+      1ms]                (b) click ALL APPS + SCROLL the list (stays in the Start root) — which stream
[+      1ms]                tracks the scroll, and is its cadence (Δ gaps) clean/debounce-able or thrash? (c) tid.
[+      1ms]                NOTE: typing → results move to the SearchHost window (separate root, not
[+      1ms]                watched here). Manual override: type 'attach' / 'detach' + Enter.
[+      1ms]   Tip: type a label + Enter (e.g. 'START MENU') right before opening it to mark the log.
[+      1ms]   Ctrl+C to quit.
[+      1ms] 
[+      2ms] WinEvent hooks installed: system=True object=True focus=True
[+     64ms] UIA (managed) MenuOpened/MenuClosed handlers registered: True
[+     91ms] UIA (COM) WindowOpened/Closed + MenuModeStart/End handlers registered: True
[+    101ms] UIA (managed) FocusChanged handler registered: True
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+    101ms] READY. Open a surface, or type a label + Enter to drop a MARK divider.
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+  12800ms] ════════════ MARK: ALLAPPS2 ════════════
[+  15206ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15221ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15227ms] WINEVENT SYSTEM_FOREGROUND      lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15243ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15292ms] UIA-COM  Win.WindowOpened       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+  15300ms] ╔═ SC ATTACHED (WindowOpened name='Start' (StartMenuExperienceHost) hwnd=0x000101B0) scope=TreeScope_Subtree → ctl=Window name='Start' class='Windows.UI.Core.CoreWindow'. Watching readiness + redraw [SC + LAYOUT:ok + SCROLL:ok]…
[+  15308ms] SC     #1   ChildAdded           +    12ms (Δ    0ms) tid=6 ctl=Window name='Search' rid.len=2
[+  15566ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15567ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16159ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16239ms] SC     #2   ChildRemoved         +   944ms (Δ  932ms) tid=6 ctl=Pane name='CoreInput' rid.len=2
[+  16248ms] SC     #3   ChildRemoved         +   952ms (Δ    8ms) tid=6 ctl=Pane name='Search' rid.len=2
[+  16248ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16911ms] SCROLL #1   V-Scroll%            +  1613ms (Δ  661ms) tid=7 val=0.6295105857159867 ctl=List
[+  16922ms] SCROLL #2   V-Scroll%            +  1627ms (Δ   14ms) tid=7 val=0.9625473429071071 ctl=List
[+  16939ms] SCROLL #3   V-Scroll%            +  1644ms (Δ   17ms) tid=7 val=1.2682260314711324 ctl=List
[+  16955ms] SCROLL #4   V-Scroll%            +  1660ms (Δ   16ms) tid=7 val=1.530916607458942 ctl=List
[+  16972ms] SCROLL #5   V-Scroll%            +  1677ms (Δ   17ms) tid=7 val=2.2247502882211303 ctl=List
[+  16991ms] SCROLL #6   V-Scroll%            +  1696ms (Δ   19ms) tid=7 val=2.6550253299468674 ctl=List
[+  17006ms] SCROLL #7   V-Scroll%            +  1710ms (Δ   14ms) tid=7 val=3.063672282800212 ctl=List
[+  17022ms] SCROLL #8   V-Scroll%            +  1727ms (Δ   17ms) tid=7 val=3.887934692811241 ctl=List
[+  17055ms] SCROLL #9   V-Scroll%            +  1760ms (Δ   33ms) tid=7 val=4.578919226615308 ctl=List
[+  17090ms] SCROLL #10  V-Scroll%            +  1794ms (Δ   34ms) tid=7 val=5.126579440369898 ctl=List
[+  17124ms] SCROLL #11  V-Scroll%            +  1828ms (Δ   34ms) tid=7 val=5.51841713030007 ctl=List
[+  17155ms] SCROLL #12  V-Scroll%            +  1860ms (Δ   32ms) tid=7 val=5.6376915518521304 ctl=List
[+  17171ms] SCROLL #13  V-Scroll%            +  1876ms (Δ   16ms) tid=7 val=5.716748462609068 ctl=List
[+  17188ms] SCROLL #14  V-Scroll%            +  1893ms (Δ   17ms) tid=7 val=5.7453936506554255 ctl=List
[+  17207ms] SCROLL #15  V-Scroll%            +  1911ms (Δ   18ms) tid=7 val=5.745482906538411 ctl=List
[+  17509ms] SCROLL #16  V-Scroll%            +  2213ms (Δ  302ms) tid=7 val=6.3749935418409995 ctl=List
[+  17524ms] SCROLL #17  V-Scroll%            +  2229ms (Δ   16ms) tid=7 val=7.030836646088571 ctl=List
[+  17556ms] SCROLL #18  V-Scroll%            +  2261ms (Δ   32ms) tid=7 val=7.54308686925208 ctl=List
[+  17573ms] SCROLL #19  V-Scroll%            +  2278ms (Δ   17ms) tid=7 val=7.767115962004826 ctl=List
[+  17591ms] SCROLL #20  V-Scroll%            +  2296ms (Δ   18ms) tid=7 val=7.953439402856087 ctl=List
[+  17624ms] SCROLL #21  V-Scroll%            +  2328ms (Δ   32ms) tid=7 val=8.271092759854739 ctl=List
[+  17639ms] SCROLL #22  V-Scroll%            +  2344ms (Δ   16ms) tid=7 val=8.384004228681919 ctl=List
[+  17673ms] SCROLL #23  V-Scroll%            +  2378ms (Δ   34ms) tid=7 val=8.546772843666727 ctl=List
[+  17689ms] SCROLL #24  V-Scroll%            +  2394ms (Δ   16ms) tid=7 val=8.58718949425411 ctl=List
[+  17706ms] SCROLL #25  V-Scroll%            +  2411ms (Δ   17ms) tid=7 val=8.604820109647163 ctl=List
[+  17740ms] SCROLL #26  V-Scroll%            +  2444ms (Δ   33ms) tid=7 val=8.605225529702327 ctl=List
[+  18209ms] SCROLL #27  V-Scroll%            +  2914ms (Δ  470ms) tid=7 val=9.00483403515168 ctl=List
[+  18224ms] SCROLL #28  V-Scroll%            +  2929ms (Δ   15ms) tid=7 val=9.355389094083096 ctl=List
[+  18240ms] SCROLL #29  V-Scroll%            +  2944ms (Δ   15ms) tid=7 val=9.678788943174801 ctl=List
[+  18256ms] SCROLL #30  V-Scroll%            +  2960ms (Δ   16ms) tid=7 val=10.228421116904165 ctl=List
[+  18272ms] SCROLL #31  V-Scroll%            +  2977ms (Δ   17ms) tid=7 val=10.471519233190888 ctl=List
[+  18289ms] SCROLL #32  V-Scroll%            +  2994ms (Δ   17ms) tid=7 val=10.675662908599945 ctl=List
[+  18306ms] SCROLL #33  V-Scroll%            +  3011ms (Δ   17ms) tid=7 val=10.86655545727447 ctl=List
[+  18323ms] SCROLL #34  V-Scroll%            +  3028ms (Δ   17ms) tid=7 val=11.030824364479072 ctl=List
[+  18357ms] SCROLL #35  V-Scroll%            +  3061ms (Δ   33ms) tid=7 val=11.27425649611457 ctl=List
[+  18390ms] SCROLL #36  V-Scroll%            +  3095ms (Δ   34ms) tid=7 val=11.418786762316392 ctl=List
[+  18406ms] SCROLL #37  V-Scroll%            +  3111ms (Δ   16ms) tid=7 val=11.454823130859628 ctl=List
[+  18423ms] SCROLL #38  V-Scroll%            +  3128ms (Δ   17ms) tid=7 val=11.464968152866241 ctl=List
[+  18826ms] SCROLL #39  V-Scroll%            +  3530ms (Δ  402ms) tid=7 val=12.074042364507507 ctl=List
[+  18842ms] SCROLL #40  V-Scroll%            +  3546ms (Δ   16ms) tid=7 val=12.698654240259001 ctl=List
